Match_id,League_id,Season,Stage,Date,home_team_api_id,away_team_api_id,Result,B365H,B365D,B365A,HomeTeam_buildUpPlaySpeed,HomeTeam_buildUpPlayPassing,HomeTeam_chanceCreationShooting,HomeTeam_defencePressure,HomeTeam_buildUpPlayDribbling,HomeTeam_chanceCreationPassing,HomeTeam_chanceCreationCrossing,HomeTeam_defenceAggression,HomeTeam_defenceTeamWidth,AwayTeam_buildUpPlaySpeed,AwayTeam_buildUpPlayPassing,AwayTeam_chanceCreationShooting,AwayTeam_defencePressure,AwayTeam_buildUpPlayDribbling,AwayTeam_chanceCreationPassing,AwayTeam_chanceCreationCrossing,AwayTeam_defenceAggression,AwayTeam_defenceTeamWidth
1729,1729,2008/2009,1,2008-08-17,10260,10261,1,1.29,5.5,11,70,45,65,40,,45,70,50,40,70,60,60,45,,65,70,65,45
1730,1729,2008/2009,1,2008-08-16,9825,8659,0,1.2,6.5,15,66,30,35,30,,30,45,40,50,65,40,55,70,,70,70,70,70
1731,1729,2008/2009,1,2008-08-16,8472,8650,2,5.5,3.6,1.67,60,70,55,35,,70,70,70,35,50,35,70,40,,50,60,60,40
1732,1729,2008/2009,1,2008-08-16,8654,8528,0,1.91,3.4,4.2,58,30,50,30,,31,70,70,30,70,70,50,35,,70,70,70,35
1733,1729,2008/2009,1,2008-08-17,10252,8456,0,1.91,3.4,4.33,70,59,50,30,,65,70,70,30,70,60,70,45,,55,70,55,45
1734,1729,2008/2009,1,2008-08-16,8668,8655,2,2,3.3,4,60,65,45,40,,60,70,70,40,55,70,55,45,,60,70,70,45
1735,1729,2008/2009,1,2008-08-16,8549,8586,0,3.2,3.4,2.25,70,70,50,30,,70,70,70,30,70,50,50,50,,50,65,50,50
1736,1729,2008/2009,1,2008-08-16,8559,10194,0,1.83,3.5,4.5,55,70,45,35,,70,70,70,35,65,70,55,35,,70,70,70,35
1737,1729,2008/2009,1,2008-08-16,8667,9879,0,2.6,3.2,2.8,65,60,55,70,,70,70,70,70,60,70,50,40,,70,70,35,40
1738,1729,2008/2009,1,2008-08-17,8455,8462,0,1.33,5,10,70,60,70,30,,56,70,60,35,70,70,55,40,,70,70,70,40
1739,1729,2008/2009,10,2008-10-29,10260,8654,0,1.2,6,19,70,45,65,40,,45,70,50,40,58,30,50,30,,31,70,70,30
1740,1729,2008/2009,10,2008-10-29,9825,8586,1,1.44,4.5,7.5,66,30,35,30,,30,45,40,50,70,50,50,50,,50,65,50,50
1741,1729,2008/2009,10,2008-10-29,8549,8456,0,2.88,3.3,2.5,70,70,50,30,,70,70,70,30,70,60,70,45,,55,70,55,45
1742,1729,2008/2009,10,2008-10-29,8559,8668,2,2.6,3.3,2.75,55,70,45,35,,70,70,70,35,60,65,45,40,,60,70,70,40
1743,1729,2008/2009,10,2008-10-29,8667,8455,2,8,4.33,1.44,65,60,55,70,,70,70,70,70,70,60,70,30,,56,70,60,35
1744,1729,2008/2009,10,2008-10-29,10194,8472,0,2.6,3.3,2.75,65,70,55,35,,70,70,70,35,60,70,55,35,,70,70,70,35
1745,1729,2008/2009,10,2008-10-29,8650,8462,0,1.33,5,10,50,35,70,40,,50,60,60,40,70,70,55,40,,70,70,70,40
1746,1729,2008/2009,10,2008-10-29,10252,8655,0,1.67,3.75,5.5,70,59,50,30,,65,70,70,30,55,70,55,45,,60,70,70,45
1747,1729,2008/2009,10,2008-10-28,10261,8659,0,1.83,3.5,4.5,70,60,60,45,,65,70,65,45,65,40,55,70,,70,70,70,70
1748,1729,2008/2009,10,2008-10-29,9879,8528,0,2.38,3.3,3,60,70,50,40,,70,70,35,40,70,70,50,35,,70,70,70,35
1749,1729,2008/2009,11,2008-11-01,10260,8667,0,1.17,7,17,70,45,65,40,,45,70,50,40,65,60,55,70,,70,70,70,70
1750,1729,2008/2009,11,2008-11-01,8586,8650,0,3.5,3.3,2.1,70,50,50,50,,50,65,50,50,50,35,70,40,,50,60,60,40
1751,1729,2008/2009,11,2008-11-01,8668,9879,0,1.67,3.75,5.5,60,65,45,40,,60,70,70,40,60,70,50,40,,70,70,35,40
1752,1729,2008/2009,11,2008-11-01,8549,8654,1,2,3.3,4,70,70,50,30,,70,70,70,30,58,30,50,30,,31,70,70,30
1753,1729,2008/2009,11,2008-11-03,10261,10252,0,3,3.3,2.38,70,60,60,45,,65,70,65,45,70,59,50,30,,65,70,70,30
1754,1729,2008/2009,11,2008-11-02,8559,8456,0,3,3.3,2.38,55,70,45,35,,70,70,70,35,70,60,70,45,,55,70,55,45
1755,1729,2008/2009,11,2008-11-01,8659,8655,1,2.5,3.3,2.88,65,40,55,70,,70,70,70,70,55,70,55,45,,60,70,70,45
1756,1729,2008/2009,11,2008-11-01,8462,8528,2,1.91,3.4,4.2,70,70,55,40,,70,70,70,40,70,70,50,35,,70,70,70,35
1757,1729,2008/2009,11,2008-11-01,10194,9825,0,8,4.5,1.4,65,70,55,35,,70,70,70,35,66,30,35,30,,30,45,40,50
1758,1729,2008/2009,11,2008-11-01,8455,8472,0,1.17,6.5,21,70,60,70,30,,56,70,60,35,60,70,55,35,,70,70,70,35
1759,1729,2008/2009,12,2008-11-08,9825,10260,0,3.25,3.25,2.3,66,30,35,30,,30,45,40,50,70,45,65,40,,45,70,50,40
1760,1729,2008/2009,12,2008-11-08,8650,8659,0,1.2,6,19,50,35,70,40,,50,60,60,40,65,40,55,70,,70,70,70,70
1761,1729,2008/2009,12,2008-11-08,8472,8462,2,2.38,3.3,3,60,70,55,35,,70,70,70,35,70,70,55,40,,70,70,70,40
1762,1729,2008/2009,12,2008-11-08,8654,8668,2,2.6,3.25,2.8,58,30,50,30,,31,70,70,30,60,65,45,40,,60,70,70,40
1763,1729,2008/2009,12,2008-11-09,10252,8549,2,1.7,3.8,5,70,59,50,30,,65,70,70,30,70,70,50,30,,70,70,70,30
1764,1729,2008/2009,12,2008-11-09,8456,8586,2,2.25,3.3,3.3,70,60,70,45,,55,70,55,45,70,50,50,50,,50,65,50,50
1765,1729,2008/2009,12,2008-11-09,8655,8455,2,8,4.33,1.44,55,70,55,45,,60,70,70,45,70,60,70,30,,56,70,60,35
1766,1729,2008/2009,12,2008-11-09,9879,10261,0,2.38,3.25,3.1,60,70,50,40,,70,70,35,40,70,60,60,45,,65,70,65,45
1767,1729,2008/2009,12,2008-11-08,8667,8559,2,2.25,3.25,3.4,65,60,55,70,,70,70,70,70,55,70,45,35,,70,70,70,35
1768,1729,2008/2009,12,2008-11-08,8528,10194,1,1.8,3.4,5,70,70,50,35,,70,70,70,35,65,70,55,35,,70,70,70,35
