"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"732","24,4 Years","450","3,38 Bill. €","4,61 Mill. €","3,38 Bill. €","4,61 Mill. €"
"2",NA,"Chelsea FC","Chelsea",28,"26,8","20","443,85 Mill. €","15,85 Mill. €","443,85 Mill. €","15,85 Mill. €",NA
"3",NA,"Manchester United","Man Utd",33,"25,0","22","362,95 Mill. €","11,00 Mill. €","362,95 Mill. €","11,00 Mill. €",NA
"4",NA,"Liverpool FC","Liverpool",30,"24,4","24","336,60 Mill. €","11,22 Mill. €","336,60 Mill. €","11,22 Mill. €",NA
"5",NA,"Manchester City","Man City",40,"24,1","24","314,90 Mill. €","7,87 Mill. €","314,90 Mill. €","7,87 Mill. €",NA
"6",NA,"Arsenal FC","Arsenal",45,"21,7","31","281,00 Mill. €","6,24 Mill. €","281,00 Mill. €","6,24 Mill. €",NA
"7",NA,"Tottenham Hotspur","Spurs",41,"23,3","20","249,20 Mill. €","6,08 Mill. €","249,20 Mill. €","6,08 Mill. €",NA
"8",NA,"Everton FC","Everton",42,"23,1","23","221,55 Mill. €","5,28 Mill. €","221,55 Mill. €","5,28 Mill. €",NA
"9",NA,"Aston Villa","Aston Villa",31,"25,5","13","160,40 Mill. €","5,17 Mill. €","160,40 Mill. €","5,17 Mill. €",NA
"10",NA,"Sunderland AFC","Sunderland",38,"24,5","26","131,70 Mill. €","3,47 Mill. €","131,70 Mill. €","3,47 Mill. €",NA
"11",NA,"West Ham United","West Ham",35,"23,8","19","118,30 Mill. €","3,38 Mill. €","118,30 Mill. €","3,38 Mill. €",NA
"12",NA,"Portsmouth FC","Portsmouth FC",45,"25,4","29","99,85 Mill. €","2,22 Mill. €","99,85 Mill. €","2,22 Mill. €",NA
"13",NA,"Fulham FC","Fulham",42,"25,3","27","92,80 Mill. €","2,21 Mill. €","92,80 Mill. €","2,21 Mill. €",NA
"14",NA,"Blackburn Rovers","Blackburn",35,"25,3","29","90,30 Mill. €","2,58 Mill. €","90,30 Mill. €","2,58 Mill. €",NA
"15",NA,"Bolton Wanderers","Bolton",32,"25,3","18","85,33 Mill. €","2,67 Mill. €","85,33 Mill. €","2,67 Mill. €",NA
"16",NA,"Stoke City","Stoke City",37,"25,9","18","76,80 Mill. €","2,08 Mill. €","76,80 Mill. €","2,08 Mill. €",NA
"17",NA,"Hull City","Hull City",37,"26,0","23","75,65 Mill. €","2,04 Mill. €","75,65 Mill. €","2,04 Mill. €",NA
"18",NA,"Wigan Athletic","Wigan",35,"25,4","27","73,90 Mill. €","2,11 Mill. €","73,90 Mill. €","2,11 Mill. €",NA
"19",NA,"Birmingham City","Birmingham",36,"25,5","18","63,50 Mill. €","1,76 Mill. €","63,50 Mill. €","1,76 Mill. €",NA
"20",NA,"Wolverhampton Wanderers","Wolves",37,"24,1","19","59,70 Mill. €","1,61 Mill. €","59,70 Mill. €","1,61 Mill. €",NA
"21",NA,"Burnley FC","Burnley",33,"25,0","20","38,45 Mill. €","1,17 Mill. €","38,45 Mill. €","1,17 Mill. €",NA
