"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"635","24,5 Years","211","2,55 Bill. €","4,02 Mill. €","2,55 Bill. €","4,02 Mill. €"
"2",NA,"Real Madrid","Real Madrid",31,"24,5","16","489,40 Mill. €","15,79 Mill. €","489,40 Mill. €","15,79 Mill. €",NA
"3",NA,"FC Barcelona","FC Barcelona",31,"24,1","15","425,50 Mill. €","13,73 Mill. €","425,50 Mill. €","13,73 Mill. €",NA
"4",NA,"Sevilla FC","Sevilla FC",36,"24,5","18","213,80 Mill. €","5,94 Mill. €","213,80 Mill. €","5,94 Mill. €",NA
"5",NA,"Valencia CF","Valencia CF",34,"24,6","10","213,80 Mill. €","6,29 Mill. €","213,80 Mill. €","6,29 Mill. €",NA
"6",NA,"Atlético Madrid","Atlético Madrid",37,"23,1","16","210,40 Mill. €","5,69 Mill. €","210,40 Mill. €","5,69 Mill. €",NA
"7",NA,"Villarreal CF","Villarreal CF",31,"25,5","13","166,70 Mill. €","5,38 Mill. €","166,70 Mill. €","5,38 Mill. €",NA
"8",NA,"Real Zaragoza","Real Zaragoza",37,"25,5","18","87,50 Mill. €","2,36 Mill. €","87,50 Mill. €","2,36 Mill. €",NA
"9",NA,"Racing Santander","Racing",34,"24,4","9","78,70 Mill. €","2,31 Mill. €","78,70 Mill. €","2,31 Mill. €",NA
"10",NA,"Athletic Bilbao","Athletic Bilbao",36,"24,2","1","76,35 Mill. €","2,12 Mill. €","76,35 Mill. €","2,12 Mill. €",NA
"11",NA,"RCD Espanyol Barcelona","Espanyol",34,"23,8","12","73,70 Mill. €","2,17 Mill. €","73,70 Mill. €","2,17 Mill. €",NA
"12",NA,"Getafe CF","Getafe CF",29,"25,4","9","73,50 Mill. €","2,53 Mill. €","73,50 Mill. €","2,53 Mill. €",NA
"13",NA,"UD Almería","UD Almería",25,"25,4","13","64,40 Mill. €","2,58 Mill. €","64,40 Mill. €","2,58 Mill. €",NA
"14",NA,"Deportivo de La Coruña","Dep. La Coruña",31,"25,0","8","62,50 Mill. €","2,02 Mill. €","62,50 Mill. €","2,02 Mill. €",NA
"15",NA,"Málaga CF","Málaga CF",38,"24,2","13","61,10 Mill. €","1,61 Mill. €","61,10 Mill. €","1,61 Mill. €",NA
"16",NA,"CA Osasuna","CA Osasuna",27,"26,4","7","54,80 Mill. €","2,03 Mill. €","54,80 Mill. €","2,03 Mill. €",NA
"17",NA,"RCD Mallorca","RCD Mallorca",27,"25,7","11","51,10 Mill. €","1,89 Mill. €","51,10 Mill. €","1,89 Mill. €",NA
"18",NA,"Real Valladolid CF","Real Valladolid",32,"24,5","7","49,90 Mill. €","1,56 Mill. €","49,90 Mill. €","1,56 Mill. €",NA
"19",NA,"Sporting Gijón","Sporting Gijón",35,"24,4","3","42,70 Mill. €","1,22 Mill. €","42,70 Mill. €","1,22 Mill. €",NA
"20",NA,"Xerez CD","Xerez CD",26,"26,5","8","32,50 Mill. €","1,25 Mill. €","32,50 Mill. €","1,25 Mill. €",NA
"21",NA,"CD Tenerife","CD Tenerife",24,"26,0","4","21,60 Mill. €","900 Th. €","21,60 Mill. €","900 Th. €",NA
