,Club,Age16,TMV16,Age15,TMV15,Age14,TMV14,Age13,TMV13,Age12,TMV12,Age11,TMV11,Age10,TMV10,Age09,TMV09,Age08,TMV08
0,Real Madrid CF,27.2,764.0,23.8,700.0,23.3,647.0,24.0,606.0,24.5,593.0,23.7,525.0,23.3,506.0,24.5,489.0,25.6,361.0
1,FC Barcelona,27.3,758.0,24.9,618.0,24.4,598.0,24.8,620.0,25.2,621.0,23.9,621.0,23.8,561.0,24.1,425.0,25.4,367.0
2,Atlético Madrid,27.7,501.0,24.4,336.0,24.7,289.0,23.9,262.0,24.3,177.0,23.8,202.0,24.1,196.0,23.1,210.0,25.6,193.0
3,Sevilla FC,27.6,236.0,24.8,186.0,24.7,122.0,23.8,147.0,24.3,134.0,24.4,145.0,24.4,225.0,24.5,213.0,24.9,170.0
4,Valencia CF,26.3,185.0,22.7,254.0,23.1,137.0,24.3,180.0,24.6,171.0,24.9,169.0,25.4,178.0,24.6,213.0,25.8,198.0
5,Villarreal CF,27.9,174.0,24.4,115.0,23.1,88.0,23.5,62.0,,,24.4,149.0,24.3,145.0,25.5,166.0,25.6,131.0
6,Athletic Bilbao,27.7,157.0,26.0,122.0,25.2,110.0,24.7,115.0,23.2,117.0,24.2,114.0,24.2,98.0,24.2,76.0,25.2,59.0
7,Real Sociedad,26.7,114.0,24.6,122.0,24.6,107.0,24.7,116.0,24.7,69.0,24.4,70.0,24.8,43.0,,,,
8,RC Celta de Vigo,26.3,105.0,23.6,63.0,23.3,39.0,24.7,56.0,25.4,36.0,,,,,,,,
9,Málaga CF,27.2,77.0,26.0,78.0,25.6,62.0,25.0,64.0,25.8,111.0,26.0,128.0,25.5,82.0,24.2,61.0,26.6,39.0
10,UD Las Palmas,27.8,70.0,26.2,29.0,,,,,,,,,,,,,,
11,RCD Espanyol,27.8,68.0,24.1,61.0,24.6,55.0,24.6,55.0,24.9,58.0,23.4,74.0,23.3,61.0,23.8,73.0,25.3,111.0
12,RC Deportivo de La Coruña,28.2,65.0,27.4,51.0,25.5,48.0,,,27.7,59.0,,,25.5,74.0,25.0,62.0,25.6,62.0
13,Real Betis Balompié,27.1,64.0,25.9,72.0,,,23.2,69.0,24.8,51.0,25.3,46.0,,,,,26.2,93.0
14,Deportivo Alavés,26.3,62.0,,,,,,,,,,,,,,,,
15,Granada CF,25.1,57.0,24.9,73.0,24.4,60.0,24.6,70.0,26.2,77.0,26.5,51.0,,,,,,
16,SD Eibar,27.3,53.0,24.8,45.0,27.3,21.0,,,,,,,,,,,,
17,Real Sporting de Gijón,26.9,48.0,23.8,30.0,,,,,,,25.3,49.0,24.8,57.0,24.4,42.0,25.4,19.0
18,CD Leganés,27.0,43.0,,,,,,,,,,,,,,,,
19,CA Osasuna,27.5,38.0,,,,,25.9,44.0,26.9,46.0,26.1,40.0,27.1,66.0,26.4,54.0,26.0,67.0
20,Levante UD,,,26.3,68.0,26.8,47.0,26.6,45.0,27.2,51.0,27.1,41.0,25.7,27.0,,,,
21,Getafe CF,,,24.7,55.0,25.1,48.0,26.0,65.0,26.0,70.0,25.9,79.0,24.4,68.0,25.4,73.0,25.9,62.0
22,Rayo Vallecano,,,27.0,53.0,25.7,52.0,24.5,43.0,25.9,41.0,25.3,34.0,,,,,,
23,Córdoba CF,,,,,24.8,44.0,,,,,,,,,,,,
24,Elche CF,,,,,24.7,31.0,25.7,53.0,,,,,,,,,,
25,UD Almería,,,,,24.1,25.0,25.7,33.0,,,,,24.9,64.0,25.4,64.0,25.3,59.0
