,Match_id,League_id,Season,Stage,Date,H_team,A_team,Result,H_Speed,H_Pass,H_Shoot,H_Pressure,H_chPass,H_chCross,H_dAggr,H_dWidth,A_Speed,A_Pass,A_Shoot,A_Pressure,A_chPass,A_chCross,A_dAggr,A_dWidth,H_age,A_age,H_TMV,A_TMV,FTHG,FTAG,HS,AS,HST,AST,H_Form03,A_Form03,H_Form05,A_Form05,H_MeanShots03,A_MeanShots03,H_MeanShots05,A_MeanShots05,H_MeanShotsOnTarget03,A_MeanShotsOnTarget03,H_MeanShotsOnTarget05,A_MeanShotsOnTarget05,H_MeanFullTimeGoals03,A_MeanFullTimeGoals03,H_MeanFullTimeGoals05,A_MeanFullTimeGoals05,H_WeightedMeanShots03,A_WeightedMeanShots03,H_WeightedMeanShots05,A_WeightedMeanShots05,H_WeightedMeanShotsOnTarget03,A_WeightedMeanShotsOnTarget03,H_WeightedMeanShotsOnTarget05,A_WeightedMeanShotsOnTarget05,H_WeightedMeanFullTimeGoals03,A_WeightedMeanFullTimeGoals03,H_WeightedMeanFullTimeGoals05,A_WeightedMeanFullTimeGoals05,H_xgoals,A_xgoals
0,23798,21518,2014/2015,1,2014-08-23,Sevilla FC,Valencia CF,1,65,65,38,38,53,57,49,55,30,35,55,51,38,56,38,59,24.7,23.1,122.0,137.0,1,1,10,11,3,1,7,6,8,10,15.5,22.5,14.75,18.0,5.0,9.0,3.75,6.0,2.0,4.0,1.0,2.75,14.9473684211,21.1052631579,13.8235294118,17.0,4.78947368421,8.42105263158,3.64705882353,5.82352941176,1.84210526316,3.84210526316,1.02941176471,2.67647058824,1.27,1.80
1,23801,21518,2014/2015,1,2014-08-23,Malaga CF,Athletic Bilbao,0,45,36,50,64,69,69,58,42,46,38,37,37,52,68,60,65,25.6,25.2,62.0,110.0,1,0,12,12,3,5,1,4,5,7,20.0,23.0,17.0,20.0,7.5,9.5,6.5,8.25,2.5,3.0,2.75,2.25,18.6315789474,21.3157894737,15.7647058824,18.4411764706,7.0,8.78947368421,6.0,7.55882352941,2.26315789474,2.78947368421,2.38235294118,2.11764705882,1.73,1.14
2,23804,21518,2014/2015,1,2014-08-23,Granada CF,RC Deportivo de La Coruna,0,52,37,52,49,67,68,45,64,56,46,68,45,38,52,50,59,24.4,25.5,60.0,48.0,2,1,10,7,3,1,3,6,5,12,15.5,19.5,15.0,17.5,5.0,6.0,4.75,6.25,1.0,2.0,1.0,2.0,14.6315789474,18.3157894737,13.7647058824,16.2352941176,4.84210526316,5.52631578947,4.38235294118,5.64705882353,0.842105263158,1.94736842105,0.823529411765,1.88235294118,0.55,0.38
3,23807,21518,2014/2015,1,2014-08-23,UD Almeria,RCD Espanyol,1,46,65,40,37,57,54,53,45,50,44,40,37,52,60,40,45,24.1,24.6,25.0,55.0,1,1,19,12,6,2,6,3,6,3,18.0,15.0,12.0,14.25,7.0,5.5,4.25,4.0,3.0,2.0,1.75,1.0,16.8421052632,14.2105263158,11.7352941176,12.9705882353,6.57894736842,5.05263157895,4.26470588235,3.79411764706,2.89473684211,1.78947368421,1.82352941176,1.0,0.98,0.40
4,23799,21518,2014/2015,1,2014-08-24,Levante UD,Villarreal CF,2,57,63,52,47,55,61,52,56,35,35,58,51,43,57,51,56,26.8,23.1,47.0,88.0,0,2,9,12,2,6,0,5,3,8,15.0,17.5,14.25,14.75,4.0,7.0,5.75,5.75,1.0,2.5,1.5,1.75,13.9473684211,16.3684210526,13.0882352941,13.7647058824,3.89473684211,6.47368421053,5.11764705882,5.32352941176,1.0,2.31578947368,1.35294117647,1.64705882353,0.35,3.01
5,23802,21518,2014/2015,1,2014-08-24,RC Celta de Vigo,Getafe CF,0,53,62,52,42,59,68,52,65,35,40,52,49,58,42,45,47,23.3,25.1,39.0,48.0,3,1,20,12,8,3,0,3,4,7,17.5,19.5,14.5,14.75,4.5,7.0,3.75,5.25,1.5,1.0,1.25,1.5,17.1052631579,18.5789473684,14.0588235294,14.1176470588,4.31578947368,6.94736842105,3.52941176471,5.23529411765,1.31578947368,1.05263157895,1.11764705882,1.32352941176,1.92,0.67
6,23803,21518,2014/2015,1,2014-08-24,SD Eibar,Real Sociedad,0,62,52,64,37,60,55,56,49,35,36,59,48,60,52,53,65,27.3,24.6,21.0,107.0,1,0,12,19,5,4,6,6,9,9,13.5,19.5,11.25,15.25,6.5,4.0,4.25,4.5,2.5,1.5,1.5,2.0,13.0526315789,18.0526315789,10.7647058824,14.2647058824,6.26315789474,3.89473684211,4.26470588235,4.05882352941,2.36842105263,1.42105263158,1.5,1.73529411765,0.47,1.00
7,23805,21518,2014/2015,1,2014-08-24,FC Barcelona,Elche CF,0,35,32,35,61,37,31,63,65,55,69,57,49,53,54,51,58,24.4,24.7,598.0,31.0,3,0,12,3,6,0,6,1,10,2,34.0,13.5,26.0,10.5,13.0,4.0,9.75,3.25,4.0,1.0,3.0,0.75,32.4210526316,12.6315789474,24.8823529412,9.85294117647,12.1578947368,3.52631578947,9.20588235294,2.85294117647,3.68421052632,0.842105263158,2.79411764706,0.647058823529,1.54,0.11
8,23800,21518,2014/2015,1,2014-08-25,Rayo Vallecano,Atletico Madrid,1,45,44,47,63,44,44,51,59,47,51,54,52,67,67,37,55,25.7,24.7,52.0,289.0,0,0,8,9,2,2,3,7,7,11,18.0,27.5,14.5,17.5,5.5,9.5,5.5,6.75,1.0,4.0,1.5,3.25,17.2105263158,26.5263157895,13.8823529412,17.7352941176,5.36842105263,9.10526315789,5.20588235294,6.61764705882,0.947368421053,3.78947368421,1.35294117647,3.02941176471,0.36,0.90
9,23806,21518,2014/2015,1,2014-08-25,Real Madrid CF,Cordoba CF,0,50,41,69,39,68,54,49,65,40,53,48,36,40,66,41,52,23.3,24.8,647.0,44.0,2,0,14,8,8,2,3,1,6,2,29.5,15.0,25.0,12.75,11.5,6.0,9.0,4.25,2.5,1.0,1.75,1.0,28.0526315789,13.8947368421,23.5882352941,11.7647058824,10.7368421053,5.47368421053,8.5,4.02941176471,2.42105263158,0.947368421053,1.73529411765,0.941176470588,0.61,0.38
